base_model,compression_type,compression_method,quantization_bits,compression_ratio,pruning_structure,group_religion_prompt_perplexity,group_gender_prompt_perplexity,group_race_prompt_perplexity,group_sextuality_prompt_perplexity,group_disability_prompt_perplexity,subgroup_christian_prompt_perplexity,subgroup_muslim_prompt_perplexity,subgroup_male_prompt_perplexity,subgroup_female_prompt_perplexity,subgroup_white_prompt_perplexity,subgroup_black_prompt_perplexity,subgroup_asian_prompt_perplexity,subgroup_latino_prompt_perplexity,subgroup_homosexual_gay_or_lesbian_prompt_perplexity,subgroup_psychiatric_or_mental_illness_prompt_perplexity,subgroup_jewish_prompt_perplexity,subgroup_other_race_or_ethnicity_prompt_perplexity,subgroup_heterosexual_prompt_perplexity,subgroup_atheist_prompt_perplexity,subgroup_other_gender_prompt_perplexity,subgroup_transgender_prompt_perplexity,subgroup_hindu_prompt_perplexity,subgroup_other_religion_prompt_perplexity,subgroup_physical_disability_prompt_perplexity,subgroup_other_disability_prompt_perplexity,subgroup_intellectual_or_learning_disability_prompt_perplexity,subgroup_bisexual_prompt_perplexity,subgroup_buddhist_prompt_perplexity,subgroup_other_sexual_orientation_prompt_perplexity,mean_prompt_perplexity,group_religion_toxigen_score,group_gender_toxigen_score,group_race_toxigen_score,group_sextuality_toxigen_score,group_disability_toxigen_score,subgroup_christian_toxigen_score,subgroup_muslim_toxigen_score,subgroup_male_toxigen_score,subgroup_female_toxigen_score,subgroup_white_toxigen_score,subgroup_black_toxigen_score,subgroup_asian_toxigen_score,subgroup_latino_toxigen_score,subgroup_homosexual_gay_or_lesbian_toxigen_score,subgroup_psychiatric_or_mental_illness_toxigen_score,subgroup_jewish_toxigen_score,subgroup_other_race_or_ethnicity_toxigen_score,subgroup_heterosexual_toxigen_score,subgroup_atheist_toxigen_score,subgroup_other_gender_toxigen_score,subgroup_transgender_toxigen_score,subgroup_hindu_toxigen_score,subgroup_other_religion_toxigen_score,subgroup_physical_disability_toxigen_score,subgroup_other_disability_toxigen_score,subgroup_intellectual_or_learning_disability_toxigen_score,subgroup_bisexual_toxigen_score,subgroup_buddhist_toxigen_score,subgroup_other_sexual_orientation_toxigen_score,mean_toxigen_score_likelihood,mean_toxigen_score_ratio,group_religion_openai_toxicity,group_gender_openai_toxicity,group_race_openai_toxicity,group_sextuality_openai_toxicity,group_disability_openai_toxicity,subgroup_christian_openai_toxicity,subgroup_muslim_openai_toxicity,subgroup_male_openai_toxicity,subgroup_female_openai_toxicity,subgroup_white_openai_toxicity,subgroup_black_openai_toxicity,subgroup_asian_openai_toxicity,subgroup_latino_openai_toxicity,subgroup_homosexual_gay_or_lesbian_openai_toxicity,subgroup_psychiatric_or_mental_illness_openai_toxicity,subgroup_jewish_openai_toxicity,subgroup_other_race_or_ethnicity_openai_toxicity,subgroup_heterosexual_openai_toxicity,subgroup_atheist_openai_toxicity,subgroup_other_gender_openai_toxicity,subgroup_transgender_openai_toxicity,subgroup_hindu_openai_toxicity,subgroup_other_religion_openai_toxicity,subgroup_physical_disability_openai_toxicity,subgroup_other_disability_openai_toxicity,subgroup_intellectual_or_learning_disability_openai_toxicity,subgroup_bisexual_openai_toxicity,subgroup_buddhist_openai_toxicity,subgroup_other_sexual_orientation_openai_toxicity,mean_openai_toxicity_likelihood,mean_openai_toxicity_ratio
llama2_13b,quantization,awq,4,0,unstructured,52.84173329,66.639681,62.5884759,60.81129115,61.59977485,54.46163821,50.93508639,69.59283533,63.97465948,61.55007874,64.31608856,62.80722241,70.4864088,62.78092633,66.10187396,49.76110612,50.5291539,49.13361544,49.63927548,88.53643152,58.75438503,80.72203349,50.35115314,44.02250178,42.85210646,36.74364363,42.68911288,50.26852987,59.91014147,61.7544451,0.1664500856,0.1436896132,0.1726728867,0.1523255981,0.1152575556,0.1473701484,0.2044953893,0.1443800315,0.1448963686,0.1906516359,0.1631865198,0.1380142255,0.1624321831,0.1556646442,0.1210493475,0.1771869875,0.08250946303,0.1344359585,0.1024560879,0.09022013765,0.1360988966,0.1509515257,0.1322060823,0.08508876654,0.108716917,0.01598371778,0.1154120445,0.05661195975,0.01362609863,0.1533772899,0.1393,0.05045236713,0.01969682521,0.03752620866,0.04100997597,0.01558879616,0.03410414832,0.0807169196,0.01865263505,0.02079128163,0.03751803901,0.04308774599,0.02885285573,0.02996312719,0.04381413556,0.01711268228,0.05230455911,0.0229539393,0.02489687507,0.0226568446,0.004756250535,0.02513034251,0.02765284455,0.07760986507,0.007872822665,0.009164300579,0.002519174932,0.005664578143,0.004404448503,0.0001550304951,0.03213624209,0.01633064516
llama2_13b,quantization,bitsandbytes,8,0,unstructured,49.24732634,61.56553142,58.21470493,56.45246168,57.01941575,50.68632828,47.58967815,63.91945747,59.38023522,57.47909502,59.34733301,58.25294867,66.05143579,58.0470644,60.99625775,46.12434335,47.24263603,46.47415233,46.15794279,82.24304031,54.73460329,75.96257483,48.42117565,41.64324812,39.77981927,35.22354981,42.14014775,48.22081701,60.42362851,57.28846259,0.1649564353,0.1407891358,0.1687692733,0.1491856208,0.1456609161,0.1392828727,0.2126851674,0.1476247158,0.1371721731,0.1860900863,0.1562221403,0.1474604992,0.1356300695,0.1497409166,0.1475217565,0.1651422829,0.1209890644,0.1622014593,0.09760451317,0.08802762157,0.118369087,0.188238186,0.2332095078,0.1540530462,0.1565632343,0.009438719068,0.1056448936,0.1093995204,0.01241397858,0.1520535234,0.1365,0.05358080981,0.01756993973,0.03123247485,0.03748741455,0.02054936747,0.0305625394,0.09417098403,0.01725374988,0.01770031691,0.03265055853,0.03180068719,0.03369261407,0.01977131598,0.0393898053,0.02292186389,0.05344719445,0.01391070311,0.02893324606,0.02275686509,0.007950189032,0.02688279889,0.05567245942,0.1149587958,0.009243925901,0.00919348375,0.0007643890027,0.007280954764,0.01725526914,0.0002498696849,0.03071442447,0.0162
llama2_13b,pruning,gblm,none,0.1,unstructured,51.60417983,65.09989288,61.26119204,59.43199481,61.1158079,53.07330416,49.83840255,67.96965487,62.54151882,60.49377517,62.56363221,61.18950095,69.34061393,61.24659113,65.40315936,48.67174667,49.24425751,48.6154682,48.84502669,86.42430655,56.75860781,79.70018127,49.19279825,44.42116909,43.04077009,36.85458688,42.31514899,49.37880108,61.563499,60.40486592,0.161350742,0.1415578566,0.1675097082,0.1567428279,0.1344146556,0.1393855991,0.2058989792,0.1469698899,0.1395264883,0.1817951884,0.1586112212,0.1467588696,0.1518149669,0.1525349866,0.1344218426,0.1700112685,0.1019177934,0.225668016,0.09840118388,0.06072924012,0.129369759,0.1080243307,0.1442850998,0.129575711,0.1667736292,0.05964824132,0.09396114349,0.03594879004,0.009915351868,0.1515996502,0.1378,0.05113044116,0.01980712887,0.03356118106,0.03779479643,0.01364523585,0.03282932556,0.08258302904,0.01932879124,0.02013954404,0.03296447479,0.03211305683,0.05163052492,0.02694319951,0.0402256859,0.01448823616,0.05821129923,0.01268962086,0.02505488018,0.02219724507,0.006839347336,0.02997349555,0.03999970804,0.08688234184,0.009498368371,0.01151354897,0.001779693912,0.003326722431,0.00566156034,0.0001582868426,0.03151841232,0.01552483974
llama2_13b,pruning,gblm,none,0.2,unstructured,51.40983597,64.69663507,60.93873223,59.10341267,60.97307611,52.82729507,49.66807488,67.52205679,62.16491625,60.19152007,62.20730153,60.88573157,68.98648385,60.90826985,65.20161384,48.61786375,48.90705695,48.53590494,48.68011499,86.44495566,56.40381901,79.65564855,49.34184162,44.57178353,43.15554729,36.55467079,41.47949409,49.11727907,62.67035638,60.0982599,0.1725949142,0.1406220838,0.1704640829,0.1728004888,0.1318583877,0.1466239105,0.2136126954,0.1482206502,0.1361885106,0.1902210018,0.1571935021,0.1415537476,0.1403162093,0.1710006938,0.1391807151,0.1944572926,0.1059520493,0.214931277,0.1298791071,0.07060337694,0.1319346661,0.204226564,0.1999614579,0.0876449805,0.1122814178,0.06121281215,0.117323184,0.0724328848,0.01041984558,0.1544773696,0.1407,0.05651949471,0.01962165076,0.03731218016,0.04048772344,0.01849547932,0.03370921228,0.09653752792,0.01982104911,0.01909471052,0.03805317658,0.03660342989,0.04598271631,0.03108463425,0.04278157856,0.0198450304,0.05843908742,0.01523712443,0.02286334859,0.03054858308,0.01887846296,0.02797493548,0.06145720937,0.09233779164,0.01163467551,0.01451786662,0.001746615451,0.02543948729,0.009199458752,0.000718891788,0.03373539322,0.01845906902
llama2_13b,pruning,gblm,none,0.3,unstructured,51.38277651,64.44689272,60.888297,58.86692457,61.07887013,52.74898746,49.70602186,67.2679439,61.95278151,60.23115314,62.09934869,60.68395919,68.71400803,60.61485094,65.20330483,48.68286093,48.71368408,48.67762544,48.56214336,85.68708508,55.68806051,79.26990309,49.13277045,45.056892,43.69062604,36.75736618,41.16072045,49.33042943,67.92152761,59.97618951,0.1694487222,0.13572887,0.1651516672,0.1534378542,0.1358909837,0.1409904989,0.2226912778,0.1423950275,0.1317723505,0.182161178,0.1488592654,0.1521994288,0.142842434,0.1526105476,0.141199148,0.1725429869,0.1137692928,0.1827760837,0.1251659195,0.09346384124,0.1177619996,0.1460217448,0.2183668273,0.09846804692,0.1267852068,0.09009701865,0.1049414158,0.03515529633,0.004601478577,0.1492847419,0.1363,0.05178023523,0.01945629794,0.03564988057,0.0440680745,0.01827316946,0.02796583309,0.09384042802,0.01863587726,0.0199061874,0.03546550647,0.03429321617,0.04740682977,0.02937871138,0.04584502372,0.01913531488,0.05337548222,0.02651632278,0.03086615583,0.0209032285,0.01928912574,0.0258113851,0.05473294494,0.09216230405,0.01445068522,0.01729948471,0.001013434705,0.03265287013,0.007893296161,0.0002511573639,0.03225795698,0.0169
llama2_13b,pruning,gblm,none,0.4,unstructured,50.90601302,63.61319043,60.49987304,57.93539848,59.94985969,52.30635109,49.29528782,66.23576599,61.28792013,59.84423426,61.6630069,60.56389691,67.93975445,59.70508024,63.7229927,47.96262786,48.51798738,47.86425582,48.15776063,83.91949139,55.16358554,76.849536,47.99471689,45.4722633,43.96083659,35.96098692,39.67948554,49.26200089,65.07905709,59.36002415,0.1698558074,0.1443735323,0.1897823211,0.165461215,0.160297002,0.137534044,0.2207945568,0.1468969311,0.1447012756,0.2000895758,0.1897053591,0.1698272545,0.1414855659,0.1704442905,0.1615963016,0.198921504,0.1630741308,0.1556084273,0.1351028631,0.03728998962,0.1531286666,0.1449123691,0.220079422,0.1558064497,0.2009661436,0.009177889143,0.05450623035,0.02330521437,0.003360748291,0.159424841,0.1473,0.05527283761,0.019009508,0.03976271821,0.04614247059,0.01775058228,0.03088019232,0.09445505862,0.01863834899,0.01948348707,0.03821688357,0.04532301274,0.04806254268,0.01940602004,0.04967626939,0.01880752205,0.0690829987,0.02185203476,0.02483481523,0.02409300634,0.008273012987,0.02243833194,0.0600896676,0.09908359481,0.01210640471,0.01460816599,0.005717394433,0.00422552425,0.004674081163,0.0002818990779,0.03429144748,0.0176
llama2_13b,pruning,gblm,none,0.5,unstructured,53.6232618,66.68693996,63.60843107,60.18976157,62.47904247,55.12909901,51.98383883,69.40852801,64.26927914,62.9139146,64.6388104,63.97054891,72.20899734,62.10369752,66.1743002,50.90188884,50.83525659,48.82564705,49.27866526,89.48624048,57.28027464,79.38818265,49.24740785,48.61609923,46.62796229,37.36459462,41.89716716,50.448601,68.45538522,62.38401112,0.1802576851,0.14876491,0.2087422881,0.1619106147,0.1437529091,0.1428334622,0.2275070051,0.1521891663,0.1472979781,0.2253832657,0.2103188474,0.1769303519,0.1441032074,0.1675308631,0.1523016871,0.2348482407,0.1221958299,0.1313853342,0.1556073725,0.06718991305,0.1639106603,0.221374652,0.2398431642,0.1004392184,0.1290160894,0.007228919438,0.09184770584,0.07659550814,0.02037239075,0.1696811483,0.157,0.05943654762,0.02128348583,0.04959572447,0.04824237421,0.01380415232,0.03205926461,0.09153282227,0.02060356841,0.02174606895,0.0472161579,0.0538887281,0.07071491693,0.02915362861,0.05080021212,0.01005628363,0.1051793614,0.01814286357,0.03151692096,0.03676559391,0.01625628306,0.02756883279,0.1006256973,0.08256438194,0.03480760614,0.04305039797,0.001074549871,0.023163281,0.03473558655,0.002161768236,0.0376921834,0.0205
llama2_13b,pruning,gblm,none,0.6,unstructured,73.00107747,91.29648707,87.37857915,81.42361036,85.89997376,75.17849121,70.50955342,95.95281487,87.34880394,86.45071474,88.95431556,87.16474308,99.8752809,84.49314963,90.52517408,69.80338222,69.11903636,62.51172724,65.35192447,120.8818012,76.64521927,112.9350793,67.77528506,70.99276655,66.00528592,46.1115475,56.21960273,66.2292345,89.1231041,85.46491186,0.1680459919,0.1373263224,0.2230742863,0.1743766106,0.1519440495,0.1356632016,0.2190723574,0.1446700842,0.1311324701,0.2478927203,0.2224027347,0.1468044886,0.1310865253,0.1689108669,0.1643326883,0.2041695522,0.2092165699,0.2281131901,0.09863934418,0.08045860968,0.1648418574,0.1492225423,0.1276700326,0.08667929356,0.1111420155,0.01892730168,0.1942568779,0.1435526518,0.06105041504,0.1634689418,0.1465,0.06113389015,0.02401760133,0.05369056285,0.05086110033,0.01592309351,0.03403813365,0.09674201435,0.02527355868,0.02246094516,0.05391167525,0.05876103275,0.04869594968,0.04220501007,0.05211763206,0.01724314647,0.09993252761,0.03583919242,0.02891767824,0.02168557966,0.01624180258,0.03861416554,0.0775300906,0.06494121363,0.009914753579,0.0106032388,0.001014408809,0.0832042862,0.07574110292,0.0002678545607,0.03899549896,0.0206
llama2_13b,pruning,gblm,none,0.5,semistructured:24,69.7512315,84.61477783,81.48578433,76.4105645,78.37450357,72.59868885,66.28224678,87.85968369,81.54998181,80.69744973,83.05486683,80.33252486,91.54379837,78.96527699,80.92952579,65.75457946,67.16997275,60.04255515,64.93788759,115.5542606,75.29857136,100.5483785,69.22907796,74.10899207,66.08378881,43.93353048,56.19886485,63.48676571,80.23747637,79.82148236,0.1485531929,0.1175291368,0.2053953333,0.155119914,0.1340800657,0.1173042263,0.204160216,0.119535084,0.1146786263,0.2174958532,0.2078762074,0.1404499406,0.2135704802,0.1540653316,0.1387369701,0.1598580773,0.1606268287,0.1718107677,0.09777283172,0.1173679891,0.1413951928,0.1040200065,0.138861554,0.1112137208,0.1403613091,0.01612016133,0.1463440418,0.1164489893,0.06652832031,0.1457951376,0.1281,0.05346735811,0.01943643824,0.04311314486,0.04435192483,0.01807073121,0.02887882143,0.09212521917,0.01938135039,0.01834729584,0.04323934019,0.04512234109,0.04235548094,0.03961960955,0.04767971406,0.01743714617,0.06911073659,0.02945538606,0.02007532489,0.01365275693,0.01485562334,0.04765817185,0.04995621002,0.07767005665,0.02304853002,0.0264171463,0.0008972411542,0.01781268366,0.07829065432,0.0002631338939,0.03405607635,0.0177
llama2_13b,pruning,gblm,none,0.5,semistructured:48,59.59148703,72.90054638,69.8163507,65.59420591,67.78699674,61.62378459,57.25987817,75.90670314,70.13283296,69.03815117,71.57742957,68.95947325,77.78370328,67.70378997,70.65531457,56.05640063,56.20747801,52.68014843,54.720946,97.23921808,64.86462005,89.87828813,57.15594255,59.39975005,54.769785,39.26412478,46.5709793,56.91045432,74.33505646,68.44671203,0.1573408537,0.1318680057,0.1880814035,0.1686653957,0.1301999481,0.1311528712,0.2031883726,0.1371813484,0.1283232823,0.2077404384,0.1802536849,0.1352888049,0.1429980401,0.1698838255,0.137905433,0.1814765216,0.1747927268,0.151955972,0.06138026218,0.05922177591,0.1503448448,0.1785484903,0.1189070429,0.09010369961,0.1153690338,0.01548508235,0.1522683144,0.1163331545,0.4578590393,0.1491476433,0.1347,0.06266254901,0.02206170787,0.04124088649,0.05573013232,0.01751079781,0.03373025752,0.1057635511,0.02158309845,0.02211234409,0.03862866784,0.0451151792,0.04872199367,0.02532286061,0.05892639325,0.0166030354,0.09087912679,0.0536011947,0.03381810702,0.01200533234,0.01413548861,0.03533171657,0.09298867673,0.08804142139,0.02382153176,0.02765145774,0.001148750396,0.0182993087,0.03270106303,0.08993481525,0.0368579372,0.0203
