base_model,compression_type,compression_method,quantization_bits,compression_ratio,pruning_structure,active_parameters,age_acc_ambiguous,age_s_ambiguous,age_acc_disambiguated,age_s_disambiguated,disability_status_acc_ambiguous,disability_status_s_ambiguous,disability_status_acc_disambiguated,disability_status_s_disambiguated,gender_identity_acc_ambiguous,gender_identity_s_ambiguous,gender_identity_acc_disambiguated,gender_identity_s_disambiguated,nationality_acc_ambiguous,nationality_s_ambiguous,nationality_acc_disambiguated,nationality_s_disambiguated,physical_appearance_acc_ambiguous,physical_appearance_s_ambiguous,physical_appearance_acc_disambiguated,physical_appearance_s_disambiguated,race_ethnicity_acc_ambiguous,race_ethnicity_s_ambiguous,race_ethnicity_acc_disambiguated,race_ethnicity_s_disambiguated,race_x_gender_acc_ambiguous,race_x_gender_s_ambiguous,race_x_gender_acc_disambiguated,race_x_gender_s_disambiguated,religion_acc_ambiguous,religion_s_ambiguous,religion_acc_disambiguated,religion_s_disambiguated,ses_acc_ambiguous,ses_s_ambiguous,ses_acc_disambiguated,ses_s_disambiguated,sexual_orientation_acc_ambiguous,sexual_orientation_s_ambiguous,sexual_orientation_acc_disambiguated,sexual_orientation_s_disambiguated,avg_acc_ambiguous,avg_s_ambiguous,avg_acc_disambiguated,avg_s_disambiguated
llama2_13b,pruning,magnitude,none,0.4,unstructured,7.273180962,0.1183437404,0.2360269363,0.7950513947,0.1980193828,0.04131371324,0.07579445698,0.6863591148,0.04378303914,0.1352943723,0.1552737263,0.6374617951,0.1246670896,0.2795773435,0.2825810166,0.6749715713,0.2105406934,0.1708956772,0.2350137005,0.6475394575,0.183372236,0.1676093906,0.1676087246,0.8002449116,0.08577717273,0.04601204601,0.04701171368,0.8936335603,0.01461939616,0.06975326278,0.07198478457,0.8363277971,0.02076938601,0.1693887927,0.1698882936,0.6736017429,0.1291925944,0.1766681156,0.178225748,0.7075636582,0.1335782486,0.1374856454,0.1619409101,0.7352755004,0.1144319239
llama2_13b,pruning,magnitude,none,0.5,unstructured,6.060984135,0.09933874542,0.23169195,0.6917495579,0.2128926138,0.04820487619,0.05511876253,0.6251133856,0.03341225362,0.1735887446,0.1775827506,0.5867560894,0.1340631211,0.305600743,0.308604416,0.5993604599,0.2302871276,0.2070205465,0.2414025966,0.5488412074,0.2441715317,0.2642301032,0.2642294372,0.6491518185,0.1595713208,0.04899438233,0.04999404999,0.7178690512,0.02553373307,0.09262682793,0.09485834972,0.7231059427,0.02904749824,0.1507084474,0.1512079482,0.6090623336,0.1545491844,0.2022893574,0.2038469898,0.5804191713,0.1699895291,0.1592602774,0.1778537251,0.6331429018,0.1393517913
llama2_13b,pruning,magnitude,none,0.6,unstructured,4.848787308,0.0946834368,0.1123551505,0.5058278698,0.09612201123,0.05206638854,0.07445198923,0.4961285076,0.02257502294,0.1462617383,0.1569197469,0.5040163497,0.1141934453,0.3092734324,0.3122771054,0.4305427772,0.2537179316,0.2541820095,0.2707328484,0.4360257868,0.2401389973,0.2229057609,0.2229050949,0.4676746747,0.1439313308,0.05600138933,0.057001057,0.5235125235,0.03024018634,0.03069509569,0.03292661748,0.5454026729,0.005630682043,0.1428754577,0.1433749585,0.4909560723,0.125585743,0.1572810259,0.1588386583,0.4634066079,0.1354521283,0.1466225735,0.1541783227,0.4863493842,0.1167587479
llama2_13b,none,none,none,0,unstructured,12.12196827,0.1956944641,0.1428452701,0.9165282526,0.02656471172,0.08177384114,0.1402973995,0.7066505235,-0.01698115388,0.1661797628,0.1898389969,0.7777305771,0.07476814214,0.307778996,0.3097336769,0.8083509268,0.1859348789,0.209151259,0.3895908427,0.7463846934,0.145591415,0.09712245734,0.09673440909,0.9202729122,0.02682557848,0.086253276,0.08642046512,0.863662627,0.04924192187,0.1774778762,0.179709398,0.863816503,0.06448427298,0.145932504,0.1457679332,0.8408526472,0.07133369628,0.2676483373,0.2692059697,0.8143602007,0.09184561553,0.1735012774,0.1950144361,0.8258609863,0.0719609079
llama2_13b,quantization,awq,4,0,unstructured,12.12196827,0.2044212828,0.3621112388,0.8600304676,0.1326592982,0.09554394605,0.1446228438,0.7071057743,-0.02903606568,0.2002947053,0.2489134199,0.7188752085,0.116374986,0.3373461872,0.3403498602,0.7439216492,0.2524685823,0.2172294903,0.3993665128,0.7323312167,0.1538831516,0.1925817516,0.1925810856,0.8909572906,0.0767610013,0.06502906503,0.0660287327,0.9020012353,0.03402500195,0.1802696126,0.1825011344,0.8660564563,0.06130643422,0.1747194734,0.1752189742,0.7741406375,0.1152306673,0.2684778671,0.2700354995,0.7941036667,0.09981309116,0.1935913381,0.2381729302,0.7989523603,0.1013486148
llama2_13b,quantization,bitsandbytes,8,0,unstructured,12.12196827,0.2010986135,0.3307758474,0.8690224936,0.1210262781,0.07703987558,0.1304553273,0.7135584409,-0.01702532132,0.1722977023,0.2155884116,0.7242128795,0.1110606883,0.3233395119,0.3263431849,0.7589033395,0.2247190739,0.2104300106,0.393407649,0.7463781607,0.1504878881,0.2055727606,0.2055720946,0.8906266266,0.08964576236,0.06236306236,0.06336273003,0.9193352527,0.03694122144,0.1735722462,0.175803768,0.8654990616,0.06005112464,0.1857211401,0.1862206409,0.7666373015,0.1059515566,0.2684416431,0.2699992755,0.8049961242,0.09645480879,0.1879876566,0.2297528929,0.8059169681,0.09793130809
llama2_13b,pruning,gblm,none,0.5,semistructured:24,6.060984135,0.1991246636,0.2381204187,0.672763552,0.1636869039,0.1002923425,0.1450091845,0.6001226489,0.06759452117,0.1442827173,0.1529400599,0.6117604271,0.1010473358,0.204551357,0.20755503,0.6230530494,0.09263704538,0.1989423152,0.312211511,0.5675927862,0.2971812248,0.169954712,0.169954046,0.6881574908,0.09373585128,0.05035638369,0.05135605136,0.6715753382,0.01337900068,0.1105191509,0.1127506727,0.6850097615,0.05021772455,0.1847403012,0.1852398021,0.5880343245,0.1362756816,0.1812758096,0.182833442,0.6396530794,0.1197739966,0.1544039753,0.1757970218,0.6347722458,0.1135529286
llama2_13b,pruning,gblm,none,0.1,unstructured,10.90977144,0.1907539281,0.3297331173,0.8750208252,0.1036042608,0.08220228588,0.1355800533,0.7088105382,-0.02222633481,0.19796337,0.2479140859,0.7212195529,0.1280162059,0.3260128612,0.3290165342,0.7705603532,0.2114918887,0.2040508389,0.3861878614,0.7446774805,0.134758532,0.2049050949,0.2049044289,0.8979632966,0.08285640614,0.06036106036,0.06136072803,0.9129915797,0.03133623635,0.1746861397,0.1769176615,0.8666204529,0.06317232839,0.1833859726,0.1838854734,0.7736369761,0.09784714736,0.2598855321,0.2614431645,0.8127989119,0.09184561553,0.1884207084,0.2316943108,0.8084299967,0.09227022864
llama2_13b,pruning,gblm,none,0.5,semistructured:48,6.060984135,0.1057071359,0.2114036998,0.8033880587,0.1458180095,0.06756861459,0.1277981894,0.6777452933,0.04446996025,0.1452830503,0.1739237429,0.6641474808,0.1316520304,0.1948519642,0.1978556372,0.756573622,0.08048257997,0.1900202266,0.3551115491,0.6480495527,0.2609365446,0.134955045,0.134954379,0.8068968969,0.06647245543,0.04668604669,0.04768571435,0.804289471,0.00848466287,0.09712255069,0.09935407248,0.7886974318,0.05655002559,0.1465411207,0.1470406215,0.7171167533,0.09217879317,0.1812323408,0.1827899732,0.7395060916,0.09604978519,0.1309968095,0.1677917579,0.7406410652,0.09830948469
llama2_13b,pruning,gblm,none,0.2,unstructured,9.697574615,0.2030939495,0.3600705066,0.8746914899,0.10911071,0.0804801844,0.1604980996,0.7139896612,-0.01037223444,0.2132957043,0.2639117549,0.7082148815,0.1444285,0.3313555439,0.3343592169,0.7652330112,0.2174754196,0.2014998185,0.3878755759,0.7472268677,0.1438128619,0.2039100899,0.2039094239,0.905631298,0.07209214625,0.05936205936,0.06036172703,0.9236669237,0.03040538251,0.1707795761,0.1730110979,0.8643795565,0.06122809421,0.1802131354,0.1807126362,0.7831336485,0.08722454047,0.2816670289,0.2832246613,0.8143711699,0.09368174487,0.192565709,0.24079347,0.8100538508,0.09490871654
