base_model,compression_type,compression_method,quantization_bits,compression_ratio,pruning_structure,active_parameters,group_body_type_regardv3_score,group_nationality_regardv3_score,group_age_regardv3_score,group_characteristics_regardv3_score,group_race_ethnicity_regardv3_score,group_socioeconomic_class_regardv3_score,group_religion_regardv3_score,group_gender_and_sex_regardv3_score,group_ability_regardv3_score,group_political_ideologies_regardv3_score,group_cultural_regardv3_score,group_sexual_orientation_regardv3_score,group_nonce_regardv3_score,group_null_regardv3_score,mean_regardv3_score_likelihood,mean_regardv3_score_ratio,group_body_type_openai_toxicity,group_nationality_openai_toxicity,group_age_openai_toxicity,group_characteristics_openai_toxicity,group_race_ethnicity_openai_toxicity,group_socioeconomic_class_openai_toxicity,group_religion_openai_toxicity,group_gender_and_sex_openai_toxicity,group_ability_openai_toxicity,group_political_ideologies_openai_toxicity,group_cultural_openai_toxicity,group_sexual_orientation_openai_toxicity,group_nonce_openai_toxicity,group_null_openai_toxicity,mean_openai_toxicity_likelihood,mean_openai_toxicity_ratio
llama2_13b,quantization,awq,4,0,unstructured,12.12196827,0.2336742722,0.1648044693,0.1608325449,0.2634180791,0.1676646707,0.2144469526,0.1881638847,0.3242876526,0.3081285444,0.3257403189,0.217630854,0.4061433447,0.0593220339,0.125,0.2414,0.2414,0.00220148465,0.002562863941,0.001715554457,0.003384460963,0.002867956193,0.0002496224715,0.00937031403,0.001186168417,0.00225862941,0.002371730347,0.0007453004037,0.001482987928,0.0006433702422,0.0003061981928,0.00196717896,0
llama2_13b,quantization,bitsandbytes,8,0,unstructured,12.12196827,0.2368214005,0.1592178771,0.1712393567,0.2662429379,0.1816367265,0.223476298,0.2230652504,0.3337856174,0.3223062382,0.3075170843,0.2258953168,0.4300341297,0.08474576271,0.125,0.2496,0.2496,0.001442861912,0.0007072686324,0.0004558644682,0.001844790481,0.002577963437,0.0021165681,0.003175509547,0.00354605997,0.003010659346,0.001303847431,0.002348013532,0.008676765866,0.0005449474701,0.0001234618812,0.002116890267,0
llama2_13b,pruning,gblm,none,0.1,unstructured,10.90977144,0.2348544453,0.1703910615,0.146641438,0.2662429379,0.1816367265,0.1941309255,0.2033383915,0.3432835821,0.309073724,0.3075170843,0.2258953168,0.4061433447,0.1016949153,0.1875,0.2432,0.2432,0.001198626486,0.0005062076082,0.0002247057054,0.001827636923,0.002206197158,0.002112003994,0.002419671697,0.002979589346,0.002860118687,0.001092118578,0.002003455612,0.006618761432,0.0006737764154,8.28E-05,0.001813784914,0
llama2_13b,pruning,gblm,none,0.2,unstructured,9.697574615,0.2061369001,0.1787709497,0.1504257332,0.2605932203,0.1816367265,0.1783295711,0.2003034901,0.3595658073,0.3345935728,0.3006833713,0.2314049587,0.4061433447,0.1186440678,0.125,0.2388,0.2388,0.001013139954,0.0004118966009,0.0003653284201,0.001676779463,0.002293574019,0.001489307775,0.003028252843,0.003014803701,0.003228141569,0.00289046685,0.001831091152,0.006095380148,0.001055902301,0.0002850850121,0.001877378451,0
llama2_13b,pruning,gblm,none,0.3,unstructured,8.485377789,0.2010228167,0.1284916201,0.1305581835,0.2563559322,0.1716566866,0.1828442438,0.1820940819,0.3147896879,0.3336483932,0.298405467,0.1955922865,0.3890784983,0.1186440678,0.0625,0.2261,0.2261,0.001413396462,0.0003534430076,0.0005790580214,0.001923634467,0.003759366848,0.001828573561,0.003349942307,0.003293624534,0.003711898868,0.001426557019,0.001579607798,0.007875169416,0.002115796159,0.0002579166964,0.002207189169,0.0001
llama2_13b,pruning,gblm,none,0.4,unstructured,7.273180962,0.1837136113,0.1648044693,0.1248817408,0.2436440678,0.1816367265,0.2009029345,0.1623672231,0.2985074627,0.3298676749,0.3075170843,0.2341597796,0.3890784983,0.1186440678,0,0.2207,0.2207,0.001314085138,0.0006339531993,0.000402078331,0.001721589253,0.00247066318,0.001682748363,0.003321621346,0.003665581459,0.00314111171,0.001706062725,0.001791982363,0.008930444488,0.001653234611,0.0002555923862,0.002084240734,0
llama2_13b,pruning,gblm,none,0.5,unstructured,6.060984135,0.1471282455,0.1089385475,0.08703878903,0.2012711864,0.1077844311,0.1151241535,0.1350531108,0.2537313433,0.3241965974,0.291571754,0.2203856749,0.3276450512,0.1016949153,0,0.183,0.183,0.001359178516,0.0006873320232,0.0004814318727,0.001443597784,0.002540718863,0.001574818185,0.00286501367,0.003082388154,0.002989515145,0.00182868699,0.00272384663,0.007967057056,0.001841739537,0.0003368372284,0.00198959326,0
llama2_13b,pruning,gblm,none,0.6,unstructured,4.848787308,0.1184107002,0.04469273743,0.06149479659,0.1588983051,0.06986027944,0.1151241535,0.09863429439,0.1953867028,0.2778827977,0.2391799544,0.1432506887,0.2559726962,0.04237288136,0,0.1433,0.1433,0.001633649099,0.001493969719,0.001004957521,0.001393756052,0.002606295183,0.001707022081,0.002387340319,0.002624113882,0.002464837143,0.002000612515,0.001916305715,0.006354735016,0.001615551915,0.001698264787,0.0019554,0
llama2_13b,pruning,gblm,none,0.5,semistructured:24,6.060984135,0.1144767899,0.03072625698,0.1078524125,0.1758474576,0.06586826347,0.1128668172,0.1016691958,0.2198100407,0.2646502836,0.2414578588,0.08815426997,0.2866894198,0.01694915254,0,0.1481,0.1481,0.001483525738,0.0008271451444,0.0007571939774,0.0015154896,0.002022264233,0.001600485154,0.003288065081,0.002959097833,0.002870738973,0.002315624433,0.001561798616,0.007133906348,0.002541521025,0.0004181913778,0.002010094595,0
llama2_13b,pruning,gblm,none,0.5,semistructured:48,6.060984135,0.1467348544,0.06424581006,0.05960264901,0.197740113,0.0618762475,0.1151241535,0.1183611533,0.2333785617,0.2854442344,0.2642369021,0.1707988981,0.2627986348,0.09322033898,0.0625,0.164,0.164,0.00194006987,0.0009273168323,0.0005891043703,0.0012609813,0.002546865168,0.002135314156,0.003142198078,0.002800434469,0.002641199007,0.002058811723,0.00282038883,0.007615070436,0.001307299248,0.0004126045381,0.00211425089,0
