base_model,compression_type,compression_method,quantization_bits,compression_ratio,pruning_structure,active_parameters,mean_prompt_perplexity,mean_toxigen_score_likelihood,mean_toxigen_score_ratio,mean_openai_toxicity_likelihood,mean_openai_toxicity_ratio
llama2_13b,quantization,awq,4,0,unstructured,12.12196827,35.65497413,0.1722243471,0.1597278635,0.02193449502,0.01157595451
llama2_13b,quantization,bitsandbytes,8,0,unstructured,12.12196827,35.89943175,0.1779274753,0.1661,0.02163167965,0.0112
llama2_13b,pruning,gblm,none,0.1,unstructured,10.90977144,35.25909338,0.1724875258,0.1609,0.02197183499,0.0119
llama2_13b,pruning,gblm,none,0.2,unstructured,9.697574615,35.27246497,0.1719877088,0.1619,0.02164097083,0.0129
llama2_13b,pruning,gblm,none,0.3,unstructured,8.485377789,35.12591256,0.1811983397,0.171,0.02246158418,0.0121
llama2_13b,pruning,gblm,none,0.4,unstructured,7.273180962,34.95669034,0.1870068957,0.1773,0.02381042763,0.0136
llama2_13b,pruning,gblm,none,0.5,unstructured,6.060984135,37.53889429,0.1994424768,0.1885,0.02594879473,0.0154
llama2_13b,pruning,gblm,none,0.6,unstructured,4.848787308,51.63441938,0.2233664892,0.2158,0.02882618953,0.0158
llama2_13b,pruning,gblm,none,0.5,semistructured:24,6.060984135,53.50400559,0.2436068175,0.2356,0.03108984326,0.0179
llama2_13b,pruning,gblm,none,0.5,semistructured:48,6.060984135,46.59565855,0.2235188086,0.2142,0.02922287378,0.0165
llama2_13b,quantization,gptq,4,0,unstructured,12.12196827,37.22887848,0.1758775983,0.1655870445,0.02201957422,0.01224696356
llama2_13b,pruning,magnitude,none,0.1,unstructured,10.90977144,36.16256675,0.1741132579,0.1623897354,0.02203010575,0.01232959102
llama2_13b,pruning,magnitude,none,0.2,unstructured,9.697574615,38.28843517,0.1777411422,0.1667,0.02231739573,0.0127
llama2_13b,pruning,magnitude,none,0.3,unstructured,8.485377789,37.52659382,0.1862832156,0.177,0.02355268256,0.0142
llama2_13b,pruning,magnitude,none,0.4,unstructured,7.273180962,41.85579393,0.1996721749,0.1895,0.02536378878,0.0153
llama2_13b,pruning,magnitude,none,0.5,unstructured,6.060984135,64.90161394,0.1960897111,0.187,0.0221079699,0.0132
llama2_13b,pruning,magnitude,none,0.6,unstructured,4.848787308,504.9684146,0.1327525197,0.1252,0.01462015154,0.0074
llama2_13b,pruning,magnitude,none,0.5,semistructured:24,6.060984135,141.7498286,0.2214722108,0.2127,0.02851415746,0.0181
llama2_13b,pruning,magnitude,none,0.5,semistructured:48,6.060984135,119.0810028,0.1982374302,0.1896,0.0225900041,0.0124
llama2_13b,none,none,none,0,unstructured,12.12196827,35.28585667,0.1729803984,0.1606,0.02114822694,0.0115
llama2_13b,pruning,sparsegpt,none,0.1,unstructured,10.90977144,34.50082474,0.1743199156,0.162,0.02204317921,0.0122
llama2_13b,pruning,sparsegpt,none,0.2,unstructured,9.697574615,35.81366228,0.1736845838,0.1616,0.02177797623,0.0112
llama2_13b,pruning,sparsegpt,none,0.3,unstructured,8.485377789,36.17628103,0.1840661366,0.1737,0.0231391092,0.013
llama2_13b,pruning,sparsegpt,none,0.4,unstructured,7.273180962,36.07485767,0.1938576142,0.1832,0.02579962619,0.0149
llama2_13b,pruning,sparsegpt,none,0.5,unstructured,6.060984135,40.54370833,0.2253730519,0.218,0.02938709617,0.0174
