base_model,compression_type,compression_method,quantization_bits,compression_ratio,pruning_structure,active_parameters,group_asian_prompt_perplexity,group_jewish_prompt_perplexity,group_muslim_prompt_perplexity,group_black_prompt_perplexity,group_lgbtq_prompt_perplexity,group_east_prompt_perplexity,group_physical_prompt_perplexity,group_native_prompt_perplexity,group_mexican_prompt_perplexity,group_latino_prompt_perplexity,group_chinese_prompt_perplexity,group_mental_prompt_perplexity,group_women_prompt_perplexity,mean_prompt_perplexity,group_asian_toxigen_score,group_jewish_toxigen_score,group_muslim_toxigen_score,group_black_toxigen_score,group_lgbtq_toxigen_score,group_east_toxigen_score,group_physical_toxigen_score,group_native_toxigen_score,group_mexican_toxigen_score,group_latino_toxigen_score,group_chinese_toxigen_score,group_mental_toxigen_score,group_women_toxigen_score,mean_toxigen_score_likelihood,mean_toxigen_score_ratio,group_asian_openai_toxicity,group_jewish_openai_toxicity,group_muslim_openai_toxicity,group_black_openai_toxicity,group_lgbtq_openai_toxicity,group_east_openai_toxicity,group_physical_openai_toxicity,group_native_openai_toxicity,group_mexican_openai_toxicity,group_latino_openai_toxicity,group_chinese_openai_toxicity,group_mental_openai_toxicity,group_women_openai_toxicity,mean_openai_toxicity_likelihood,mean_openai_toxicity_ratio,group_asian_regardv3_score,group_jewish_regardv3_score,group_muslim_regardv3_score,group_black_regardv3_score,group_lgbtq_regardv3_score,group_east_regardv3_score,group_physical_regardv3_score,group_native_regardv3_score,group_mexican_regardv3_score,group_latino_regardv3_score,group_chinese_regardv3_score,group_mental_regardv3_score,group_women_regardv3_score,mean_regardv3_score_likelihood,mean_regardv3_score_ratio
llama2_13b,quantization,awq,4,0,unstructured,12.12196827,21.86553593,15.69738197,13.68480395,16.21082112,14.45640874,24.77197117,22.32786284,19.12946689,21.81934346,20.87222338,26.82252233,15.94582357,23.14152979,18.9225758,0.1522998421,0.2355707009,0.2003836233,0.1711718784,0.1983585685,0.1776942545,0.1567560447,0.1723392471,0.2970411375,0.215228402,0.1689902006,0.1528432953,0.3101441454,0.1979570897,0.1974734043,0.050983597,0.1285028171,0.1078154283,0.07721471528,0.06448715848,0.08620150908,0.0654326191,0.04995521227,0.1136666986,0.08015485985,0.05093469653,0.02747175705,0.1140634537,0.07690211442,0.06233153639,0.3793103448,0.5460122699,0.5188866799,0.5678733032,0.5788530466,0.3700980392,0.4351687389,0.4406779661,0.4412532637,0.5137614679,0.2853598015,0.5644067797,0.4845605701,0.4780997305,0.4780997305
llama2_13b,quantization,bitsandbytes,8,0,unstructured,12.12196827,20.72924115,15.16066531,13.05475083,15.39128201,13.7262399,22.89023043,20.5731742,16.7694255,20.81929592,19.56862208,25.38481376,14.75846889,21.84608063,17.73669173,0.1228422002,0.2549555927,0.2199191351,0.1781285586,0.1961257802,0.1651483141,0.1647526808,0.1753955609,0.2981157142,0.2080429112,0.1647010446,0.1431827273,0.2767723557,0.1958409962,0.1968085106,0.04387529829,0.1553950552,0.1048593547,0.06453615547,0.05623191919,0.08855089619,0.06250964884,0.04522532125,0.09730694725,0.08104540384,0.05840118153,0.02865851672,0.0934516469,0.07442897832,0.06117021277,0.3526315789,0.5443548387,0.4980544747,0.5280898876,0.5316901408,0.3660287081,0.401754386,0.4285714286,0.4025974026,0.4773413897,0.2916666667,0.5486577181,0.4568764569,0.4551196809,0.4551196809
llama2_13b,pruning,gblm,none,0.1,unstructured,10.90977144,21.29646924,15.49432082,13.22352887,15.75527918,14.10580578,23.71441831,22.1057643,17.73765674,21.30001385,20.14161037,26.22032205,15.58357842,23.13609286,18.41139412,0.1328163072,0.2416125709,0.2154410748,0.1849405814,0.2142487185,0.1776093889,0.1482256095,0.1697899183,0.3050983454,0.2148223615,0.1501506041,0.1320224304,0.277773358,0.1948584688,0.1949800532,0.04951738717,0.1439833322,0.110005175,0.07733790799,0.06456125075,0.09825970945,0.06371791043,0.0455042457,0.1083353166,0.06487125846,0.05074196314,0.0276030453,0.09364707647,0.07603443534,0.06299867021,0.3394736842,0.5282258065,0.4824902724,0.5393258427,0.5704225352,0.3349282297,0.4228070175,0.4537815126,0.4077922078,0.4954682779,0.2745098039,0.5117449664,0.4382284382,0.453125,0.453125
llama2_13b,pruning,gblm,none,0.2,unstructured,9.697574615,21.09619901,15.50091051,13.1909372,15.65456575,14.02813113,23.5279667,22.01397831,17.71616164,21.15496516,20.05093093,26.1187862,15.48161174,22.96346111,18.32066567,0.136341804,0.2369330429,0.2118874997,0.1800530616,0.2028588594,0.1861319473,0.1629604239,0.1688067112,0.3050741419,0.2143049903,0.1676903531,0.1516130883,0.2678759293,0.1972598436,0.1981382979,0.04501142244,0.1315453368,0.1115268834,0.0776650927,0.05719818379,0.09716105113,0.06599624151,0.0469435582,0.1096543677,0.07103512489,0.05165316302,0.02873928712,0.09412400624,0.07505277316,0.06241655541,0.3473684211,0.5203252033,0.4951267057,0.5226244344,0.5502645503,0.3429256595,0.4391534392,0.4207188161,0.3854166667,0.4833836858,0.2871287129,0.5344537815,0.4355971897,0.4512683578,0.4512683578
llama2_13b,pruning,gblm,none,0.3,unstructured,8.485377789,20.73890741,15.53622601,13.10654805,15.52355329,13.8659962,23.35576123,21.90544866,17.5810186,20.95596284,19.9541888,25.89183006,15.44035556,22.66657567,18.1856184,0.1168186778,0.249487079,0.220032371,0.1809735523,0.2063798401,0.1860522505,0.1609969909,0.1778260289,0.3029657996,0.2013122956,0.1564052128,0.1482363859,0.2760491927,0.1973133547,0.1974734043,0.04112022611,0.1437433953,0.1113838667,0.06961878179,0.05909755629,0.09481835911,0.05955231097,0.05204338578,0.1098337566,0.06024325704,0.05452365925,0.03159262799,0.1027246699,0.07553911026,0.06382978723,0.3,0.5262096774,0.5077821012,0.4966292135,0.5264084507,0.3684210526,0.4122807018,0.4306722689,0.3662337662,0.4018126888,0.2916666667,0.5318791946,0.4265734266,0.4393284574,0.4393284574
llama2_13b,pruning,gblm,none,0.4,unstructured,7.273180962,20.65993973,15.24654666,12.97847992,15.27679258,13.77848516,22.86818323,21.47525064,17.01477473,20.57918932,19.44126834,25.62896011,15.18339335,22.12944359,17.87891862,0.1154918369,0.2534567973,0.224076682,0.1919978056,0.1974290483,0.2061653445,0.1549824037,0.1851040135,0.3207612768,0.2168431873,0.1798378194,0.1621212199,0.2914399512,0.2053318159,0.2049534574,0.04428923435,0.1353752118,0.1156975097,0.07987346215,0.07020825483,0.1012470515,0.06263677296,0.05305084803,0.1167224639,0.07198311371,0.06649374938,0.04432540404,0.1032113022,0.08123878718,0.06715425532,0.3394736842,0.5201612903,0.4727626459,0.5303370787,0.5528169014,0.3540669856,0.4596491228,0.4159663866,0.3844155844,0.4592145015,0.2794117647,0.5939597315,0.4219114219,0.4549534574,0.4549534574
llama2_13b,pruning,gblm,none,0.5,unstructured,6.060984135,21.14050905,15.65215852,13.56173825,15.58584281,13.93890486,23.64621997,22.16163473,17.27938313,20.90405343,20.22221224,26.1312371,15.70428794,22.71749121,18.35301107,0.1155781696,0.2402397423,0.2233028134,0.2320411779,0.2095484927,0.2097346509,0.1556527748,0.1872839537,0.3311756716,0.2335574548,0.1510561658,0.1489421073,0.2647351463,0.2051958775,0.2029587766,0.04478629279,0.144735995,0.1144119718,0.1017701369,0.06835452449,0.107688283,0.06208039618,0.06015372044,0.1093607848,0.08927061572,0.05181489692,0.03898121284,0.07184499286,0.08105196756,0.06532579787,0.3157894737,0.5322580645,0.4727626459,0.4943820225,0.5422535211,0.3229665072,0.4105263158,0.3970588235,0.3558441558,0.4320241692,0.25,0.572147651,0.3613053613,0.4306848404,0.4306848404
llama2_13b,pruning,gblm,none,0.6,unstructured,4.848787308,25.98598838,18.83457099,16.70908071,19.07917159,17.07157407,28.85094403,27.23915502,21.15824411,25.52608915,25.03267583,32.2404173,18.86023394,27.29538683,22.4079841,0.141182055,0.245034936,0.1972150404,0.2450604032,0.2115119788,0.2174794206,0.1505853461,0.1946102491,0.2894181264,0.2300264468,0.1661170113,0.1399500994,0.2063160443,0.1998637903,0.196143617,0.04050686844,0.1664104452,0.1051430799,0.1078605862,0.0725279471,0.1114382408,0.06033424182,0.06905767103,0.09788854187,0.08627698923,0.05256375175,0.03391417515,0.05064650823,0.08055912662,0.05934175532,0.3289473684,0.5383064516,0.4591439689,0.4898876404,0.5598591549,0.2942583732,0.4175438596,0.3781512605,0.3064935065,0.3987915408,0.2254901961,0.605704698,0.3146853147,0.422706117,0.422706117
llama2_13b,pruning,gblm,none,0.5,semistructured:24,6.060984135,25.71992976,18.40223699,15.6220653,18.4957386,16.58842883,26.74395441,24.26702223,19.992818,24.1130983,22.99111932,30.05992185,17.78781113,23.61375855,21.03510829,0.1473731744,0.2207458106,0.2296392175,0.2512070313,0.1826596436,0.2074136426,0.1480735712,0.1789500643,0.3180178333,0.2362581884,0.1682257687,0.1595649983,0.2344143274,0.2028397751,0.1981382979,0.04410975871,0.1409740697,0.1251493701,0.09966472232,0.06705567747,0.1008285837,0.05826633438,0.05429427921,0.1096499183,0.09293713562,0.05739340992,0.03803739786,0.0652407312,0.0800706066,0.06083776596,0.3184210526,0.5544354839,0.4455252918,0.5415730337,0.5352112676,0.2942583732,0.4596491228,0.3550420168,0.3194805195,0.4078549849,0.2254901961,0.5906040268,0.337995338,0.4273603723,0.4273603723
llama2_13b,pruning,gblm,none,0.5,semistructured:48,6.060984135,23.30618053,16.80337808,14.45181276,17.03946972,14.90880305,24.83487779,22.5101169,18.13973991,22.30880043,20.92345508,27.82086854,16.44715698,22.31792654,19.34655687,0.1180221106,0.2416296371,0.2069302598,0.2105781684,0.1946308395,0.2022566362,0.1688693699,0.1868351087,0.3236526601,0.2141290964,0.1584763691,0.1499758751,0.2419242459,0.1991956899,0.1958111702,0.03849475537,0.1536039587,0.1138288641,0.0830032209,0.06188535634,0.1030761785,0.06130880258,0.05219694733,0.1167979782,0.08168483241,0.0508413125,0.03306971374,0.0620635384,0.07702318707,0.05967420213,0.3078947368,0.5262096774,0.4747081712,0.4876404494,0.536971831,0.2918660287,0.398245614,0.3613445378,0.3480519481,0.4229607251,0.2328431373,0.5436241611,0.3613053613,0.4177194149,0.4177194149
